shape_dist_traveled,shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
4.549999999999999,SHP_C_0,43.15930497936308,2.990757182030279,82
4.649999999999999,SHP_C_0,43.15992715904497,2.989898875145514,83
4.719999999999999,SHP_C_0,43.16043585470611,2.989421441940863,84
4.789999999999999,SHP_C_0,43.16101925130966,2.989115123806414,85
4.839999999999999,SHP_C_0,43.161465330529126,2.98897564893764,86
4.879999999999999,SHP_C_0,43.161786192515216,2.988868360577044,87
4.919999999999999,SHP_C_0,43.16213835616993,2.988857631740984,88
4.949999999999999,SHP_C_0,43.16236530500517,2.98895419126552,89
4.969999999999999,SHP_C_0,43.16254529830949,2.989061479626116,90
4.999999999999999,SHP_C_0,43.162764419877284,2.98897564893764,91
5.019999999999999,SHP_C_0,43.1629052833273,2.988761072216448,92
5.0699999999999985,SHP_C_0,43.16331222035843,2.98871815687221,93
