arrival_time,departure_time,shape_dist_traveled,stop_id,stop_sequence,timepoint,trip_id
13:31:00,13:31:00,,393,18,1,CITIBUS003010
13:31:00,13:31:00,,310,19,1,CITIBUS003010
13:32:00,13:32:00,,262,20,1,CITIBUS003010
13:34:00,13:34:00,,311,21,1,CITIBUS003010
07:46:00,07:46:00,,267,31,1,CITIBUS003001
13:35:00,13:35:00,,427,22,1,CITIBUS003010
13:36:00,13:36:00,,428,23,1,CITIBUS003010
13:36:00,13:36:00,,429,24,1,CITIBUS003010
13:37:00,13:37:00,,430,25,1,CITIBUS003010
13:37:00,13:37:00,,WID402,26,1,CITIBUS003010
13:40:00,13:40:00,,262,27,1,CITIBUS003010
13:42:00,13:42:00,,328,28,1,CITIBUS003010
13:42:00,13:42:00,,264,29,1,CITIBUS003010
13:45:00,13:45:00,,265,30,1,CITIBUS003010
13:46:00,13:46:00,,267,31,1,CITIBUS003010
07:48:00,07:48:00,,305,32,1,CITIBUS003001
13:48:00,13:48:00,,305,32,1,CITIBUS003010
13:50:00,13:50:00,,465,1,1,CITIBUS003011
13:50:00,13:50:00,,365,2,1,CITIBUS003011
13:51:00,13:51:00,,364,3,1,CITIBUS003011
13:52:00,13:52:00,,361,4,1,CITIBUS003011
13:54:00,13:54:00,,WID400,5,1,CITIBUS003011
13:55:00,13:55:00,,409,6,1,CITIBUS003011
13:56:00,13:56:00,,411,7,1,CITIBUS003011
13:56:00,13:56:00,,413,8,1,CITIBUS003011
13:59:00,13:59:00,,415,9,1,CITIBUS003011
07:50:00,07:50:00,,465,1,1,CITIBUS003002
14:00:00,14:00:00,,418,10,1,CITIBUS003011
14:01:00,14:01:00,,416,11,1,CITIBUS003011
14:04:00,14:04:00,,518,12,1,CITIBUS003011
14:06:00,14:06:00,,WID401,13,1,CITIBUS003011
14:07:00,14:07:00,,385,14,1,CITIBUS003011
14:08:00,14:08:00,,387,15,1,CITIBUS003011
14:09:00,14:09:00,,389,16,1,CITIBUS003011
14:10:00,14:10:00,,391,17,1,CITIBUS003011
14:11:00,14:11:00,,393,18,1,CITIBUS003011
14:11:00,14:11:00,,310,19,1,CITIBUS003011
07:50:00,07:50:00,,365,2,1,CITIBUS003002
14:12:00,14:12:00,,262,20,1,CITIBUS003011
14:14:00,14:14:00,,311,21,1,CITIBUS003011
14:15:00,14:15:00,,427,22,1,CITIBUS003011
14:16:00,14:16:00,,428,23,1,CITIBUS003011
14:16:00,14:16:00,,429,24,1,CITIBUS003011
14:17:00,14:17:00,,430,25,1,CITIBUS003011
14:17:00,14:17:00,,WID402,26,1,CITIBUS003011
14:20:00,14:20:00,,262,27,1,CITIBUS003011
14:22:00,14:22:00,,328,28,1,CITIBUS003011
14:22:00,14:22:00,,264,29,1,CITIBUS003011
07:51:00,07:51:00,,364,3,1,CITIBUS003002
14:25:00,14:25:00,,265,30,1,CITIBUS003011
14:26:00,14:26:00,,267,31,1,CITIBUS003011
14:28:00,14:28:00,,305,32,1,CITIBUS003011
14:30:00,14:30:00,,465,1,1,CITIBUS003012
14:30:00,14:30:00,,365,2,1,CITIBUS003012
14:31:00,14:31:00,,364,3,1,CITIBUS003012
14:32:00,14:32:00,,361,4,1,CITIBUS003012
14:34:00,14:34:00,,WID400,5,1,CITIBUS003012
14:35:00,14:35:00,,409,6,1,CITIBUS003012
14:36:00,14:36:00,,411,7,1,CITIBUS003012
07:52:00,07:52:00,,361,4,1,CITIBUS003002
14:36:00,14:36:00,,413,8,1,CITIBUS003012
14:39:00,14:39:00,,415,9,1,CITIBUS003012
14:40:00,14:40:00,,418,10,1,CITIBUS003012
14:41:00,14:41:00,,416,11,1,CITIBUS003012
14:44:00,14:44:00,,518,12,1,CITIBUS003012
14:46:00,14:46:00,,WID401,13,1,CITIBUS003012
14:47:00,14:47:00,,385,14,1,CITIBUS003012
14:48:00,14:48:00,,387,15,1,CITIBUS003012
14:49:00,14:49:00,,389,16,1,CITIBUS003012
14:50:00,14:50:00,,391,17,1,CITIBUS003012
07:54:00,07:54:00,,WID400,5,1,CITIBUS003002
14:51:00,14:51:00,,393,18,1,CITIBUS003012
14:51:00,14:51:00,,310,19,1,CITIBUS003012
14:52:00,14:52:00,,262,20,1,CITIBUS003012
14:54:00,14:54:00,,311,21,1,CITIBUS003012
14:55:00,14:55:00,,427,22,1,CITIBUS003012
14:56:00,14:56:00,,428,23,1,CITIBUS003012
14:56:00,14:56:00,,429,24,1,CITIBUS003012
14:57:00,14:57:00,,430,25,1,CITIBUS003012
14:57:00,14:57:00,,WID402,26,1,CITIBUS003012
15:00:00,15:00:00,,262,27,1,CITIBUS003012
07:55:00,07:55:00,,409,6,1,CITIBUS003002
15:02:00,15:02:00,,328,28,1,CITIBUS003012
15:02:00,15:02:00,,264,29,1,CITIBUS003012
15:05:00,15:05:00,,265,30,1,CITIBUS003012
15:06:00,15:06:00,,267,31,1,CITIBUS003012
15:08:00,15:08:00,,305,32,1,CITIBUS003012
15:10:00,15:10:00,,465,1,1,CITIBUS003013
15:10:00,15:10:00,,365,2,1,CITIBUS003013
15:11:00,15:11:00,,364,3,1,CITIBUS003013
